1400,石狮周边,80.0,南 北,2
800,石狮周边,46.0,南,1
2300,石狮周边,127.0,南 北,3
1100,石狮周边,44.0,南,1
1600,石狮周边,79.5,东南,2
2000,石狮周边,142.0,西南,4
1300,石狮周边,84.0,南,2
1800,石狮周边,131.0,南 北,3
1800,石狮周边,141.9,南,4
2500,石狮周边,128.0,南 北,3
1200,惠安县,47.39,南,1
1600,惠安县,79.87,东南,2
1100,惠安县,47.39,西南,1
1000,惠安县,33.0,南,1
1800,惠安县,105.0,东南,3
2200,惠安县,118.0,南,3
1300,惠安县,70.0,南,2
2000,惠安县,103.0,南,3
1400,惠安县,33.0,东南,1
1400,惠安县,88.0,东南,2
1000,惠安县,40.0,东南,1
1800,惠安县,80.0,南,2
1000,惠安县,47.0,南,1
1700,惠安县,82.0,西南,2
1800,惠安县,80.0,南,2
1800,惠安县,130.0,南,3
1600,惠安县,74.0,东南,2
1800,惠安县,81.0,东南,2
600,惠安县,35.0,南,1
1800,惠安县,82.0,南,2
850,惠安县,50.0,南,1
700,惠安县,36.0,南,1
1100,惠安县,90.0,东,2
1400,惠安县,108.0,南 东北,3
4500,惠安县,167.88,南,4
2000,惠安县,120.0,南,3
2200,惠安县,127.0,东 东南 东北,3
2000,惠安县,164.75,南,4
1200,惠安县,98.0,南,3
1200,惠安县,36.0,南,1
1100,台商投资区,39.0,北,1
2000,台商投资区,89.0,东南,3
1800,台商投资区,92.0,东南,3
1500,台商投资区,90.0,南,2
1500,台商投资区,92.0,南,3
600,台商投资区,81.9,东南,2
2300,台商投资区,116.0,南 北,4
2000,台商投资区,106.63,南,3
2200,台商投资区,125.0,东南,4
2000,台商投资区,105.0,北,3
1050,台商投资区,39.0,南,1
2300,台商投资区,98.0,南 北,3
2500,台商投资区,116.0,东南 南,4
1500,台商投资区,91.0,东,3
2500,台商投资区,133.0,东南,4
1500,台商投资区,30.0,南,2
1500,台商投资区,30.0,南,2
1500,台商投资区,30.0,南,2
2200,台商投资区,90.0,南,3
2200,台商投资区,90.0,南,3
2500,台商投资区,135.0,东南,4
2000,台商投资区,89.0,南,3
2200,台商投资区,118.0,南,4
2000,台商投资区,89.0,西南,3
2300,台商投资区,106.0,东南,3
